id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS
1,Gabriel Fernando de Jesus,68,17.1,9,0.8,0.8,a,0.74,FWD,ARS
2,Gabriel dos Santos Magalhães,62,59.7,60,4.6,3.8,d,1.08,DEF,ARS
3,Kai Havertz,79,87.8,59,4.2,3.2,a,1.01,FWD,ARS
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS
5,Jurriën Timber,57,48.3,47,3.6,5.8,a,1.04,DEF,ARS
6,Jorge Luiz Frello Filho,47,7.6,9,1.3,1.2,a,1.24,MID,ARS
7,Jakub Kiwior,48,6.3,13,1.6,2.5,a,0.56,DEF,ARS
8,Gabriel Martinelli Silva,68,69.1,50,3.8,0.8,a,1.04,MID,ARS
9,Ethan Nwaneri,45,12.3,13,1.6,2.0,a,0.0,MID,ARS
10,Martin Ødegaard,83,59.9,33,4.1,4.8,a,1.08,MID,ARS
11,David Raya Martin,56,34.8,58,3.9,4.0,a,1.0,GKP,ARS
12,Declan Rice,62,68.7,30,2.3,2.8,a,1.06,MID,ARS
13,Bukayo Saka,106,163.6,103,7.4,9.0,a,1.09,MID,ARS
14,William Saliba,62,42.1,55,3.9,8.0,a,1.05,DEF,ARS
15,Thomas Partey,50,53.0,47,3.4,4.0,a,0.98,MID,ARS
16,Kieran Tierney,43,0.0,0,0.0,0.0,a,0.0,DEF,ARS
17,Tomiyasu Takehiro,48,1.0,1,1.0,0.0,i,0.0,DEF,ARS
18,Leandro Trossard,68,68.7,48,3.2,4.2,a,1.07,MID,ARS
19,Benjamin White,61,21.3,27,3.0,0.0,i,0.91,DEF,ARS
20,Oleksandr Zinchenko,48,6.7,15,2.5,1.8,d,0.77,DEF,ARS
21,Norberto Murara Neto,42,7.8,7,3.5,0.0,a,1.0,GKP,ARS
22,Raheem Sterling,67,11.3,9,1.5,1.2,a,1.25,MID,ARS
23,Riccardo Calafiori,58,29.4,20,2.5,1.5,d,1.07,DEF,ARS
24,Myles Lewis-Skelly,45,0.6,1,0.5,0.0,a,0.0,MID,ARS
25,Mikel Merino,60,23.7,18,2.2,1.2,a,0.89,MID,ARS
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS
28,Maldini Kacurri,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
29,Ayden Heaven,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
30,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
31,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
32,Nathan Butler-Oyedeji,45,0.0,0,0.0,0.0,a,0.0,FWD,ARS
33,Leon Bailey,62,35.7,27,1.9,1.5,d,1.24,MID,AVL
34,Ross Barkley,52,40.8,27,2.2,3.0,a,0.41,MID,AVL
35,Enzo Barrenechea,49,0.0,0,0.0,0.0,u,0.0,MID,AVL
36,Emiliano Buendía Stati,52,2.9,6,0.9,0.5,a,0.0,MID,AVL
37,Matty Cash,44,20.6,21,2.3,2.0,a,1.11,DEF,AVL
38,Leander Dendoncker,45,0.0,0,0.0,0.0,u,0.0,MID,AVL
39,Moussa Diaby,65,0.0,0,0.0,0.0,u,0.0,MID,AVL
40,Diego Carlos Santos Silva,45,16.5,19,2.4,1.8,a,0.83,DEF,AVL
41,Lucas Digne,47,67.7,42,2.8,1.2,a,1.09,DEF,AVL
42,Lewis Dobbin,50,0.0,0,0.0,0.0,u,0.0,MID,AVL
43,Jhon Durán,58,51.4,41,2.7,2.5,a,0.22,FWD,AVL
44,Joe Gauci,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL
45,Kortney Hause,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL
46,Samuel Iling-Junior,54,0.0,0,0.0,0.0,u,0.0,MID,AVL
47,Boubacar Kamara,50,6.1,9,1.5,1.8,a,1.07,MID,AVL
48,Kaine Kesler-Hayden,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
49,Ezri Konsa Ngoyo,44,32.8,31,2.4,2.8,a,1.07,DEF,AVL
50,Ian Maatsen,46,24.9,11,0.9,0.5,a,0.64,DEF,AVL
51,Filip Marschall,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL
52,Emiliano Martínez Romero,50,31.6,43,2.9,2.8,a,1.03,GKP,AVL
53,John McGinn,52,39.3,27,2.1,3.0,a,1.12,MID,AVL
54,Tyrone Mings,44,3.3,2,2.0,0.5,a,1.0,DEF,AVL
55,Kosta Nedeljković,40,2.9,3,1.0,0.0,a,0.0,DEF,AVL
56,Robin Olsen,45,1.8,1,1.0,0.2,a,0.0,GKP,AVL
57,Pau Torres,44,29.3,27,1.9,2.0,a,1.0,DEF,AVL
58,Jacob Ramsey,54,33.7,22,2.2,0.0,i,1.0,MID,AVL
59,Morgan Rogers,54,86.6,59,3.9,3.5,a,1.11,MID,AVL
60,Viljami Sinisalo,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL
61,Lino da Cruz Sousa,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
62,Youri Tielemans,55,96.9,42,2.8,2.0,a,1.04,MID,AVL
63,Ollie Watkins,90,105.0,77,5.1,5.5,d,1.14,FWD,AVL
64,Amadou Onana,49,41.7,31,3.1,0.0,a,1.28,MID,AVL
65,Jaden Philogene,53,7.4,9,0.8,1.0,a,0.55,MID,AVL
66,Lamare Bogarde,40,5.1,2,0.7,0.0,a,1.27,DEF,AVL
67,Sil Swinkels,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL
68,Oliwier Zych,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL
