id,name,cost,ict_index,total_points,points_per_game,form,status,starts_per_90,position,team
0,Fábio Ferreira Vieira,54,0.0,0,0.0,0.0,u,0.0,MID,ARS
1,Gabriel Fernando de Jesus,68,32.3,26,1.9,3.8,a,0.77,FWD,ARS
2,Gabriel dos Santos Magalhães,63,69.8,73,4.9,4.4,a,1.06,DEF,ARS
3,Kai Havertz,79,102.7,67,4.2,4.2,a,1.04,FWD,ARS
4,Karl Hein,40,0.0,0,0.0,0.0,u,0.0,GKP,ARS
5,Jurriën Timber,57,52.8,54,3.6,4.8,a,1.04,DEF,ARS
6,Jorge Luiz Frello Filho,47,8.4,10,1.2,1.2,a,1.15,MID,ARS
7,Jakub Kiwior,48,6.3,13,1.6,1.8,a,0.56,DEF,ARS
8,Gabriel Martinelli Silva,67,90.9,60,4.0,2.6,a,1.05,MID,ARS
9,Ethan Nwaneri,45,13.1,15,1.5,0.8,a,0.0,MID,ARS
10,Martin Ødegaard,84,69.6,38,3.8,3.6,a,1.1,MID,ARS
11,David Raya Martin,56,38.8,67,3.9,3.8,a,1.0,GKP,ARS
12,Declan Rice,62,82.3,44,2.9,5.0,a,1.05,MID,ARS
13,Bukayo Saka,104,174.9,107,6.7,5.4,i,1.14,MID,ARS
14,William Saliba,63,46.7,63,3.9,6.6,a,1.04,DEF,ARS
15,Thomas Partey,50,58.2,53,3.3,2.8,a,0.96,MID,ARS
16,Kieran Tierney,43,0.0,0,0.0,0.0,a,0.0,DEF,ARS
17,Tomiyasu Takehiro,48,1.0,1,1.0,0.0,i,0.0,DEF,ARS
18,Leandro Trossard,68,74.9,52,3.1,3.6,a,0.98,MID,ARS
19,Benjamin White,61,21.3,27,3.0,0.0,i,0.91,DEF,ARS
20,Oleksandr Zinchenko,48,6.7,15,2.5,1.2,d,0.77,DEF,ARS
21,Norberto Murara Neto,42,7.8,7,3.5,0.0,a,1.0,GKP,ARS
22,Raheem Sterling,67,11.3,9,1.5,0.2,i,1.25,MID,ARS
23,Riccardo Calafiori,58,33.9,24,2.7,0.8,a,1.01,DEF,ARS
24,Myles Lewis-Skelly,45,3.5,5,1.2,0.8,a,1.29,MID,ARS
25,Mikel Merino,60,32.1,22,2.2,1.2,a,0.95,MID,ARS
26,Salah-Eddine Oulad M'hand,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
27,Tommy Setford,45,0.0,0,0.0,0.0,a,0.0,GKP,ARS
28,Maldini Kacurri,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
29,Ayden Heaven,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
30,Ismeal Kabia,45,0.0,0,0.0,0.0,a,0.0,MID,ARS
31,Josh Nichols,40,0.0,0,0.0,0.0,a,0.0,DEF,ARS
32,Nathan Butler-Oyedeji,45,0.0,0,0.0,0.0,a,0.0,FWD,ARS
33,Leon Bailey,62,35.7,27,1.9,0.8,a,1.24,MID,AVL
34,Ross Barkley,52,41.0,28,2.2,0.8,a,0.41,MID,AVL
35,Enzo Barrenechea,49,0.0,0,0.0,0.0,u,0.0,MID,AVL
36,Emiliano Buendía Stati,51,2.9,7,0.9,0.6,a,0.0,MID,AVL
37,Matty Cash,44,26.9,23,2.1,1.8,a,1.08,DEF,AVL
38,Leander Dendoncker,45,0.0,0,0.0,0.0,u,0.0,MID,AVL
39,Moussa Diaby,65,0.0,0,0.0,0.0,u,0.0,MID,AVL
40,Diego Carlos Santos Silva,45,19.1,20,2.2,1.6,d,0.85,DEF,AVL
41,Lucas Digne,47,72.5,46,2.7,1.6,a,1.08,DEF,AVL
42,Lewis Dobbin,50,0.0,0,0.0,0.0,u,0.0,MID,AVL
43,Jhon Durán,59,66.4,53,3.1,4.2,a,0.48,FWD,AVL
44,Joe Gauci,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL
45,Kortney Hause,39,0.0,0,0.0,0.0,a,0.0,DEF,AVL
46,Samuel Iling-Junior,54,0.0,0,0.0,0.0,u,0.0,MID,AVL
47,Boubacar Kamara,50,10.1,13,1.6,2.2,a,1.04,MID,AVL
48,Kaine Kesler-Hayden,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
49,Ezri Konsa Ngoyo,44,36.6,34,2.3,2.8,a,1.06,DEF,AVL
50,Ian Maatsen,46,25.0,12,0.9,0.6,a,0.64,DEF,AVL
51,Filip Marschall,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL
52,Emiliano Martínez Romero,50,38.1,47,2.8,2.6,a,1.03,GKP,AVL
53,John McGinn,52,57.6,37,2.5,3.4,a,1.1,MID,AVL
54,Tyrone Mings,44,3.3,2,2.0,0.4,a,1.0,DEF,AVL
55,Kosta Nedeljković,39,2.9,3,1.0,0.0,a,0.0,DEF,AVL
56,Robin Olsen,45,1.8,1,1.0,0.2,a,0.0,GKP,AVL
57,Pau Torres,44,37.7,30,1.9,2.0,a,1.0,DEF,AVL
58,Jacob Ramsey,54,33.7,22,2.2,0.0,d,1.0,MID,AVL
59,Morgan Rogers,54,102.7,75,4.4,5.6,a,1.09,MID,AVL
60,Viljami Sinisalo,40,0.0,0,0.0,0.0,u,0.0,GKP,AVL
61,Lino da Cruz Sousa,40,0.0,0,0.0,0.0,u,0.0,DEF,AVL
62,Youri Tielemans,55,103.0,47,2.8,2.0,a,1.05,MID,AVL
63,Ollie Watkins,88,107.5,79,4.6,3.4,a,1.11,FWD,AVL
64,Amadou Onana,49,43.9,34,2.8,0.6,a,1.22,MID,AVL
65,Jaden Philogene,53,7.4,9,0.8,0.6,a,0.55,MID,AVL
66,Lamare Bogarde,40,5.1,2,0.7,0.0,a,1.27,DEF,AVL
67,Sil Swinkels,40,0.0,0,0.0,0.0,a,0.0,DEF,AVL
68,Oliwier Zych,40,0.0,0,0.0,0.0,a,0.0,GKP,AVL
69,Kadan Young,45,0.0,0,0.0,0.0,a,0.0,MID,AVL
70,Ben Broggio,45,0.0,0,0.0,0.0,a,0.0,MID,AVL
71,Max Aarons,43,0.3,1,1.0,0.0,a,0.0,DEF,BOU
72,Tyler Adams,49,19.7,13,1.6,1.6,a,0.99,MID,BOU
73,Jaidon Anthony,45,0.0,0,0.0,0.0,u,0.0,MID,BOU
74,David Brooks,49,17.3,19,1.9,1.6,a,0.54,MID,BOU
75,Ryan Christie,49,70.6,40,2.5,3.4,a,1.11,MID,BOU
76,Lewis Cook,50,73.7,43,2.7,1.2,a,0.96,MID,BOU
77,Enes Ünal,54,29.0,29,2.1,3.4,a,0.39,FWD,BOU
78,Romain Faivre,50,0.0,0,0.0,0.0,u,0.0,MID,BOU
79,Hamed Traorè,45,0.0,0,0.0,0.0,u,0.0,MID,BOU
80,James Hill,39,0.5,2,1.0,0.4,a,0.0,DEF,BOU
81,Daniel Jebbison,45,1.6,2,1.0,0.0,u,0.0,FWD,BOU
82,Milos Kerkez,47,65.9,56,3.3,5.0,a,1.05,DEF,BOU
83,Justin Kluivert,55,98.7,73,4.3,7.2,a,1.2,MID,BOU
84,Chris Mepham,44,0.0,0,0.0,0.0,u,0.0,DEF,BOU
85,Dango Ouattara,50,69.7,45,3.2,4.4,a,0.78,MID,BOU
86,Alex Paulsen,40,0.0,0,0.0,0.0,u,0.0,GKP,BOU
87,Philip Billing,48,13.7,7,1.0,1.0,a,0.0,MID,BOU
88,Alex Scott,47,15.8,11,1.4,0.0,i,0.7,MID,BOU
89,Antoine Semenyo,56,117.9,63,3.9,3.2,a,1.04,MID,BOU
90,Marcos Senesi,47,33.1,21,1.9,0.2,i,1.08,DEF,BOU
91,Luis Sinisterra,48,37.2,19,2.4,0.0,i,0.44,MID,BOU
92,Adam Smith,45,18.6,34,2.0,3.0,d,1.05,DEF,BOU
93,Marcus Tavernier,54,97.1,48,3.2,2.6,i,1.03,MID,BOU
94,Mark Travers,44,9.4,10,3.3,0.0,a,1.0,GKP,BOU
95,Illia Zabarnyi,44,40.6,41,2.4,3.6,a,1.0,DEF,BOU
96,Kepa Arrizabalaga,45,31.3,42,3.5,4.4,a,1.0,GKP,BOU
97,Dean Huijsen,43,41.2,40,3.6,6.8,a,0.89,DEF,BOU
98,Julián Araujo Zúñiga,43,5.1,8,1.0,0.0,i,1.28,DEF,BOU
99,Will Dennis,40,0.0,0,0.0,0.0,a,0.0,GKP,BOU
100,Francisco Evanilson de Lima Barbosa,60,83.7,67,4.2,4.0,a,1.15,FWD,BOU
101,Max Kinsey,40,0.0,0,0.0,0.0,a,0.0,DEF,BOU
102,Ben Winterburn,45,0.0,0,0.0,0.0,a,0.0,MID,BOU
103,Kristoffer Ajer,44,22.0,9,0.9,0.4,i,1.13,DEF,BRE
104,Ethan Brierley,44,0.0,0,0.0,0.0,a,0.0,MID,BRE
105,Nathan Collins,46,79.5,49,2.9,2.8,a,1.0,DEF,BRE
106,Mikkel Damsgaard,50,92.9,61,3.6,3.6,a,1.06,MID,BRE
107,Josh Dasilva,48,0.0,0,0.0,0.0,i,0.0,MID,BRE
108,Mark Flekken,45,67.9,51,3.0,2.6,a,1.0,GKP,BRE
109,Rico Henry,43,0.0,0,0.0,0.0,i,0.0,DEF,BRE
110,Aaron Hickey,43,0.0,0,0.0,0.0,i,0.0,DEF,BRE
111,Vitaly Janelt,49,51.3,46,2.9,1.0,a,1.03,MID,BRE
112,Mathias Jensen,53,20.4,17,2.1,0.2,i,1.13,MID,BRE
113,Kim Ji-soo,39,0.0,0,0.0,0.0,a,0.0,DEF,BRE
114,Yunus Emre Konak,45,0.4,5,1.0,0.2,a,0.0,MID,BRE
115,Keane Lewis-Potter,50,55.1,40,2.4,1.6,a,1.05,MID,BRE
116,Bryan Mbeumo,76,144.3,107,6.3,5.6,a,1.0,MID,BRE
117,Ben Mee,42,3.1,2,0.5,0.2,a,0.93,DEF,BRE
118,Christian Nørgaard,48,54.3,33,2.4,2.2,a,1.09,MID,BRE
119,Frank Onyeka,49,0.0,2,1.0,0.0,u,0.0,MID,BRE
120,Myles Peart-Harris,45,0.0,0,0.0,0.0,u,0.0,MID,BRE
121,Ethan Pinnock,45,72.3,33,2.1,0.8,i,1.0,DEF,BRE
122,Mads Roerslev Rasmussen,43,24.5,17,1.3,1.0,d,0.8,DEF,BRE
123,Kevin Schade,51,59.3,58,3.4,7.8,a,0.96,MID,BRE
124,Igor Thiago Nascimento Rodrigues,59,4.2,5,1.2,0.8,i,0.7,FWD,BRE
125,Ivan Toney,73,0.0,0,0.0,0.0,u,0.0,FWD,BRE
126,Hákon Valdimarsson,39,0.0,0,0.0,0.0,a,0.0,GKP,BRE
127,Yoane Wissa,63,82.2,76,5.4,4.0,a,1.12,FWD,BRE
128,Yehor Yarmoliuk,44,19.6,15,1.2,1.4,a,0.93,MID,BRE
129,Mathias Jorgensen,45,0.0,0,0.0,0.0,u,0.0,DEF,BRE
130,Fábio Freitas Gouveia Carvalho,46,29.1,27,1.7,1.2,a,0.65,MID,BRE
131,Sepp van den Berg,41,39.9,20,1.4,0.8,i,1.0,DEF,BRE
132,Ryan Trevitt,44,0.3,1,1.0,0.0,a,0.0,MID,BRE
133,Gustavo Nunes Fernandes Gomes,49,0.0,0,0.0,0.0,i,0.0,MID,BRE
134,Jayden Meghoma,40,0.1,1,1.0,0.2,a,0.0,DEF,BRE
135,Tony Yogane,45,0.0,0,0.0,0.0,a,0.0,MID,BRE
136,Paris Maghoma,45,1.5,3,1.0,0.6,a,0.0,MID,BRE
137,Simon Adingra,52,23.9,22,2.0,0.8,a,0.79,MID,BHA
138,Benicio Baker-Boaitey,45,0.0,0,0.0,0.0,u,0.0,MID,BHA
139,Carlos Baleba,50,49.5,39,2.8,2.6,a,1.1,MID,BHA
140,Valentín Barco,40,0.0,0,0.0,0.0,u,0.0,DEF,BHA
141,Amario Cozier-Duberry,45,0.0,0,0.0,0.0,u,0.0,MID,BHA
142,Mahmoud Dahoud,49,0.0,0,0.0,0.0,u,0.0,MID,BHA
